blank1
95,209,140,209,140,201,137,220,137,213,163,220,152,224,163,220,159,239,182,228,163,228,182,232,175,235,186,232,197,235,201,228
87,152,106,182,117,152,121,209,140,171,144,194,140,175,133,194,152,167,140,190,152,156,167,197,167,182,163,201,171,186,163,209
106,224,125,201,121,205,133,228,125,213,163,224,156,220,167,228,163,235,182,232,175,232,201,235,175,235,186,232,182,220,205,239
83,159,121,159,125,159,133,224,140,167,137,205,137,190,144,216,148,171,144,197,163,178,140,205,178,175,163,201,175,175,175,216
95,213,140,205,117,201,152,239,137,209,163,232,144,220,175,232,144,228,182,228,159,209,190,235,156,243,194,255,190,243,205,239
76,159,102,182,125,167,121,209,129,159,137,197,133,159,148,209,140,171,140,194,140,163,152,209,163,178,167,205,178,178,148,205
98,209,137,201,140,220,148,232,133,224,159,232,148,224,171,235,159,232,190,213,167,220,178,235,178,232,194,228,190,228,209,243
95,140,102,175,121,144,114,205,125,163,133,186,140,144,121,209,148,152,156,175,133,167,148,186,156,171,148,197,175,171,163,213
87,216,144,213,129,216,148,239,144,213,163,228,144,228,167,224,156,239,175,235,167,220,194,235,186,235,205,243,197,228,209,228
83,148,106,194,114,152,114,201,137,148,121,182,129,148,133,197,140,163,137,178,144,159,152,190,137,159,140,205,159,156,171,182
95,186,144,209,121,197,152,228,144,228,175,224,144,213,178,228,159,220,190,224,159,232,182,232,186,235,205,239,182,235,216,251
79,148,98,156,106,140,114,190,133,152,129,186,140,148,129,201,133,156,144,190,144,159,137,201,148,148,144,205,163,159,140,201
95,216,125,213,129,220,148,216,133,209,171,213,140,209,171,232,159,213,182,216,171,220,182,224,182,235,197,228,175,228,205,228
76,144,110,159,110,144,98,186,110,148,114,175,125,137,125,194,133,140,121,175,133,148,137,175,137,144,137,171,144,140,140,186
87,201,121,194,114,197,152,209,129,205,167,213,137,213,152,224,144,194,175,213,159,209,175,216,175,209,186,224,186,216,194,220
72,125,87,163,114,125,106,171,106,121,95,167,117,140,117,171,106,125,125,159,114,125,117,163,140,144,114,163,144,140,137,159
